HHID,value,area_km2_buffer_1,area_km2_buffer_5,area_km2_buffer_10,area_km2_buffer_15,area_km2_buffer_20,year
60126039,19,0,.052655753248757,.2514454082990146,.8313882052730793,1.077456646758141,2019
60126040,14,.0014832240385241,.196287856785764,.8086874060393584,2.155273665987874,2.552021361544774,2014
60126040,15,0,.0363378972133217,.2535784513589152,.5592333084811686,.6927476917089032,2015
60126040,16,0,.0504243394708873,.5206762391600027,.9582496509933074,1.741174677424248,2016
60126040,17,.0051913659722124,.4143145799547326,1.375714152229788,2.965553761894105,3.7886075815369,2017
60126040,18,0,.1512847373156906,.369349986207184,.8239080737944652,1.065032114365952,2018
60126040,19,0,.084553931437198,.2506954688561537,.8313582773813866,1.102272493297911,2019
60126041,14,0,.2781027922364016,.7909478274470043,2.10318375862552,2.564850329006408,2014
60126041,15,0,.0320077772680683,.2432479790553013,.512181234259531,.6920083468402741,2015
60126041,16,0,.0593248772205129,.5206762391599831,.9590315261036735,1.701251342828188,2016
60126041,17,.0074175718246698,.3342025286949759,1.284869978843715,2.898829181918454,3.795339286192069,2017
60126041,18,0,.1334881241323197,.4078271617318505,.903756333548265,1.119278517738107,2018
60126041,19,0,.0875203249452538,.2673723290517552,.79839979342739,1.132410470083548,2019
60126042,14,0,.2687125253862935,.7895176355445571,2.102291070314696,2.552987822446646,2014
60126042,15,0,.0407907618780881,.2454738021041549,.495548909266183,.7038801315228957,2015
60126042,16,0,.0682241630252337,.5058272995644174,.9520289391894969,1.806666378912756,2016
60126042,17,.0089001379257134,.3203791337140791,1.238698886010744,2.711546546939798,3.799676110485793,2017
60126042,18,0,.13274676606821,.4154540203183176,.899426811398835,1.167517441398769,2018
60126042,19,0,.0875203249452045,.3352364090113618,.7965178903509951,1.361189572661315,2019
60130001,14,.0096412952284465,.2303511628702072,.8609500232886313,1.995327227261416,3.161092363989274,2014
60130001,15,0,.0632827739897273,.2781376070819393,.843278070033455,1.193602382052463,2015
60130001,16,.0037081584875072,.1338009008808143,.7891972723435956,1.760069509229003,2.365670838745981,2016
60130001,17,.0012980624458665,.3285645234938773,1.618082821995881,6.531904138371725,11.77204422498462,2017
60130001,18,.003708168231457,.0704398469194399,.5267493821159396,1.768190543564059,2.876810503924214,2018
60130001,19,0,.0882594710945798,3.673243036850364,6.846310994047869,7.939371735446584,2019
60130002,14,.0096412952284465,.229804026959966,.860582847574742,1.994783986262948,3.161868348016674,2014
60130002,15,0,.0632827739897273,.2771767150669673,.843278070033455,1.193602382052463,2015
60130002,16,.0037081584875072,.1317830312510314,.7891972723435956,1.760069509229003,2.362856821797721,2016
60130002,17,.0007433861385165,.3283623613075377,1.618150023041989,6.51654529980151,11.76278827689586,2017
60130002,18,.003708168231457,.0677531368121796,.5198951615284801,1.769639554947913,2.876810503924214,2018
60130002,19,0,.0882594710945798,3.67889162131876,6.849508245561571,7.935660311370699,2019
60130003,14,.0096412952284465,.2303279020334702,.8627449975687443,1.994218315220261,3.158309701070402,2014
60130003,15,0,.0654618212193558,.2788565385631208,.8408111637985713,1.193857396224721,2015
60130003,16,.0037081584875072,.1338739255431649,.7891972723435864,1.758354426175283,2.37597020191213,2016
60130003,17,.0012344504238166,.3285645234938773,1.621379008514156,6.536740447432976,11.78647053595366,2017
60130003,18,.003708168231457,.0704398469194399,.5295306674571111,1.76847086115363,2.870449698984484,2018
60130003,19,0,.0882594710945798,3.665277997346261,6.845847878027183,7.937770857464694,2019
60130004,14,.0014830973136921,.1693055470398623,.8649819552294249,1.773479224917404,3.052602275825424,2014
60130004,15,0,.0763826650229967,.3058628166403047,.668213627617032,1.27670615546348,2015
60130004,16,0,.1423720524017836,.7249290408185601,1.497832706872023,2.433715404175771,2016
60130004,17,.0029661224480935,.4608832380687974,2.134616559849667,6.16633553260719,12.06182263592169,2017
60130004,18,.0007415662093248,.0867650446905977,.6417038253913908,1.536546699599159,2.881464931113375,2018
60130004,19,0,.0752015512104705,4.35146578353479,6.914687404605333,7.777028568305083,2019
60130005,14,.0014830973136921,.1688119400116123,.8655102953090882,1.773032901290099,3.061476974002768,2014
60130005,15,0,.0774895957451394,.3029993188114251,.6640023194916683,1.27225696398688,2015
60130005,16,0,.1434752878431682,.7242595242473361,1.487457352562433,2.431522981259564,2016
60130005,17,.0029661224480935,.4550642048764733,2.12825137410102,6.127029670504728,12.03743501254515,2017
60130005,18,.0007415662093248,.0849564107239928,.6417038253911403,1.53021326202523,2.877097941229921,2018
60130005,19,0,.0808369025946391,4.400442450671306,6.921535772671266,7.773132232701616,2019
60130006,14,.0013839659575293,.3390765970115953,.845785588051886,2.02058329163838,3.146875338038379,2014
60130006,15,0,.1007263690204048,.2980899792692686,.865753035204869,1.11124939789143,2015
60130006,16,0,.248991522767035,.804547285914744,1.768913769170408,2.304938563100633,2016
60130006,17,.0986800235892171,.3486258352456925,1.575850854647922,6.365324432341684,11.18410665686623,2017
60130006,18,.0089003812435885,.1113782926485276,.4946080102996163,1.763656469697075,2.881762867029954,2018
60130006,19,0,.1268414789127413,3.268325718639814,6.386897163856107,7.898454639289902,2019
60130007,14,.0014830973136921,.1693180997776249,.8649819540583876,1.773531235315328,3.051768347613693,2014
60130007,15,0,.0763826650229968,.3059669587854872,.6686356448230859,1.276706155463174,2015
60130007,16,0,.1423683556632289,.7249290408185601,1.49784073220417,2.433715404175696,2016
60130007,17,.0029661224480935,.4608832380688354,2.130195373792946,6.169596522375613,12.07288407170219,2017
60130007,18,.0007415662093248,.0850467840283651,.6411581848330701,1.539709487164616,2.881852209267969,2018
60130007,19,0,.0741175751677454,4.339001189961968,6.917397956010423,7.774802097825559,2019
60130008,14,.0014830973136921,.1693055470398581,.8649819540583876,1.773531235315328,3.051768347613693,2014
60130008,15,0,.0763826650229968,.3059669587854872,.668635647078738,1.276706155463174,2015
60130008,16,0,.1423683556632289,.7249290408185601,1.49784073220417,2.433715404175696,2016
60130008,17,.0029661224480935,.4608832380688354,2.13167796301448,6.172718754682217,12.07582985701977,2017
60130008,18,.0007415662093248,.0862413464807553,.6415546481121867,1.539709487164616,2.883335082083972,2018
60130008,19,0,.073887025631499,4.339001189961968,6.91464884760509,7.779823357189243,2019
60130009,14,.0014830973136921,.1693180997776249,.8649819540583876,1.773531235315328,3.051768347613693,2014
60130009,15,0,.0763826650229968,.3059669587854872,.6686356448230859,1.276706155463174,2015
60130009,16,0,.1423683556632289,.7249290408185601,1.49784073220417,2.433715404175696,2016
60130009,17,.0029661224480935,.4608832380688354,2.130195373792946,6.169596522375613,12.07288407170219,2017
60130009,18,.0007415662093248,.0850467840283651,.6411581848330701,1.539709487164616,2.881852209267969,2018
60130009,19,0,.0741175751677454,4.339001189961968,6.917397956010423,7.774802097825559,2019
60130010,14,.0022250103880976,.1135711134382737,.7002599576985331,1.632827913842329,3.450344843308392,2014
60130010,15,0,.0304100214343236,.2818600133076137,.6847638709987012,1.038975747545948,2015
60130010,16,.0007417074375165,.0637880744271298,.6460081590195978,1.305540435201817,2.199012366558184,2016
60130010,17,.012608745177371,.1333938800806581,1.5616835181385,4.210031395357984,8.513819340799905,2017
60130010,18,.0037083610347403,.1278885249042405,.4992135574137863,1.241635629563416,2.628486844556046,2018
60130010,19,.0582384506740642,.3724398073500175,4.045336130836986,6.639866750005134,8.046498667055088,2019
60130011,14,.0022250103880976,.1145648547971974,.6984288161125278,1.633008326540436,3.449853035062274,2014
60130011,15,0,.0304100214343236,.2818600133075055,.6847638709987012,1.04509609392967,2015
60130011,16,.0007417074375165,.0647878435307271,.6509140986977685,1.305605379870548,2.203908532809958,2016
60130011,17,.012608745177371,.1361896156667079,1.562239159256932,4.210677535330584,8.550827265067676,2017
